 Produção Ambulatorial do SUS - Ceará - por local de atendimento
Valor aprovado por Procedimento e Ano processamento
Período:2015-2023
"Procedimento";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"0202020380 HEMOGRAMA COMPLETO";7074485,46;7807425,87;7811141,31;7870880,16;8740975,38;6954181,65;8112190,59;9150688,95;9541607,49;73063576,86
"0202020398 LEUCOGRAMA";360108,84;328839,42;377946,66;351918,84;412055,28;330343,65;368222,40;376218,57;380974,23;3286627,89
"0202020401 PESQUISA DE ATIVIDADE DO COFATOR DE RISTOCETINA";-;-;8050,00;-;25,00;1125,00;-;75,00;150,00;9425,00
"0202020410 PESQUISA DE CELULAS LE";1196,01;920,64;850,77;1085,04;1590,57;1101,48;924,75;542,52;674,04;8885,82
"0202020428 PESQUISA DE CORPUSCULOS DE HEINZ";5,46;68,25;57,33;30,03;32,76;38,22;49,14;68,25;46,41;395,85
"0202020436 PESQUISA DE FILARIA";-;-;-;324,87;199,29;193,83;147,42;106,47;92,82;1064,70
"0202020444 PESQUISA DE HEMOGLOBINA S";7952,49;16167,06;42205,80;8048,04;7098,00;9197,37;23800,14;18831,54;21225,75;154526,19
"0202020460 PESQUISA DE TRIPANOSSOMA";7526,61;6601,14;622,44;1588,86;1097,46;1037,40;1493,31;1651,65;2077,53;23696,40
"0202020487 PROVA DE CONSUMO DE PROTROMBINA";129144,42;114200,46;131791,26;154309,95;200728,29;240685,71;272969,76;278834,73;432335,01;1954999,59
"0202020495 PROVA DE RETRACAO DO COAGULO";39830,70;34206,90;25102,35;32282,25;30573,27;31512,39;36999,69;35752,08;34990,41;301250,04
"0202020509 PROVA DO LACO";31160,22;29825,25;27089,79;28031,64;21736,26;23330,58;27682,20;29680,56;27373,71;245910,21
"0202020517 RASTREIO P/ DEFICIENCIA DE ENZIMAS ERITROCITARIAS";671,58;701,61;712,53;1575,21;690,69;324,87;390,39;434,07;546,00;6046,95
"0202020525 TESTE DE AGREGACAO DE PLAQUETAS";24,00;-;192,00;2484,00;24,00;-;-;7248,00;204,00;10176,00
"0202020533 TESTE DE HAM (HEMOLISE ACIDA)";13,65;54,60;18894,33;-;-;-;-;-;-;18962,58
"0202020541 TESTE DIRETO DE ANTIGLOBULINA HUMANA (TAD)";21135,66;29784,30;25110,54;35143,29;21435,96;40341,21;35539,14;37840,53;132314,91;378645,54
"0202020550 DOSAGEM DE PROTEINA C FUNCIONAL";-;-;-;-;-;-;225,00;8475,00;7725,00;16425,00
"0202020568 DOSAGEM DE PROTEINA S FUNCIONAL";-;-;-;-;-;-;625,00;13375,00;11375,00;25375,00
"0202020576 PESQUISA DE ANTICOAGULANTE LUPICO";-;-;-;-;-;-;1430,00;43450,00;36300,00;81180,00
