 Produção Ambulatorial do SUS - Ceará - por local de atendimento
Valor aprovado por Procedimento e Ano processamento
Período:2015-2023
"Procedimento";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"0301010102 CONSULTA PARA DIAGNOSTICO/REAVALIACAO DE GLAUCOMA (TONOMETRIA, FUNDOSCOPIA E CAMPIMETRIA)";358392,18;461053,90;513655,04;514463,40;460765,20;348865,08;302499,86;432414,86;454760,24;3846869,76
"0301010161 CONSULTA/ATENDIMENTO DOMICILIAR NA ATENCAO ESPECIALIZADA";15439,38;16089,36;12249,14;14663,80;11432,74;8088,64;5463,60;10390,26;12848,88;106665,80
"0301010188 CONSULTA MEDICA OFTALMOLOGICA ESPECIALIZADA - PROJETO OLHAR BRASIL";1170,00;-;-;-;-;-;-;-;-;1170,00
"0301010196 AVALIACAO CLINICA PARA DIAGNOSTICO DE DOENCAS RARAS - EIXO I: 1-ANOMALIAS CONGENITAS OU DE MANI";-;-;-;-;800,00;134400,00;258400,00;1668800,00;2680800,00;4743200,00
"0301010200 AVALIACAO CLINICA PARA DIAGNOSTICO DE DOENCAS RARAS - EIXO I: 2- DEFICIENCIA INTELECTUAL";-;-;-;-;1600,00;340000,00;665600,00;438400,00;700800,00;2146400,00
"0301010218 AVALIACAO CLINICA DE DIAGNOSTICO DE DOENCAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISMO";-;-;-;-;600,00;35400,00;21000,00;97800,00;169200,00;324000,00
"0301010226 ACONSELHAMENTO GENETICO";-;-;-;-;1500,00;113800,00;134600,00;213600,00;320500,00;784000,00
"0301010307 TELECONSULTA MEDICA NA ATENCAO ESPECIALIZADA";-;-;-;-;-;-;25170,00;18140,00;9580,00;52890,00
"0301010315 TELECONSULTA POR PROFISSIONAIS DE NIVEL SUPERIOR NA ATENCAO ESPECIALIZADA (EXCETO MEDICO)";-;-;-;-;-;-;5531,40;47861,10;43974,00;97366,50
"0301020035 EMISSAO DE PARECER SOBRE NEXO CAUSAL";319,44;87,12;72,60;588,06;863,94;4109,16;4356,00;4965,84;15013,68;30375,84
"0301030065 ATENDIMENTO PRE-HOSPITALAR MOVEL DE SALVAMENTO E RESGATE";93542,82;48692,98;79200,38;75000,66;226329,25;571875,08;722431,08;1155675,78;1042956,88;4015704,91
"0301030073 ATENDIMENTO PRE-HOSPITALAR MOVEL DE SALVAMENTO E RESGATE MEDICALIZADO";-;-;-;15370,41;-;45159,87;8146,02;3597,33;3508,14;75781,77
"0301040036 TERAPIA EM GRUPO";1241955,60;1378190,40;1123820,25;751136,40;390291,30;236670,45;288637,95;325697,85;268453,65;6004853,85
"0301040044 TERAPIA INDIVIDUAL";576575,47;557633,26;539851,58;526962,11;364693,04;338683,68;446059,40;454652,38;517458,69;4322569,61
"0301040052 ATENDIMENTO MULTIPROFISSIONAL PARA ATENCAO AS PESSOAS EM SITUACAO DE VIOLENCIA SEXUAL";-;-;1600,00;15500,00;20200,00;18700,00;16600,00;8400,00;12100,00;93100,00
"0301040168 PROCEDIMENTO PRE-OPERATORIOS REALIZADOS NA REDE DE SAUDE ? COMPLEMENTACAO";-;-;-;-;-;-;-;-;1074,64;1074,64
"0301050031 ASSISTENCIA DOMICILIAR POR EQUIPE MULTIPROFISSIONAL NA ATENCAO ESPECIALIZADA";60119,23;46840,69;48870,88;47188,20;37476,21;42396,22;55144,35;51504,64;59863,17;449403,59
"0301050040 ASSISTENCIA DOMICILIAR TERAPEUTICA MULTIPROFISSIONAL EM HIV/AIDS (ADTM)";3255,62;1335,17;-;-;146,32;-;-;-;-;4737,11
"0301060029 ATENDIMENTO DE URGENCIA C/ OBSERVACAO ATE 24 HORAS EM ATENCAO ESPECIALIZADA";11764210,47;19983112,65;25835034,25;24189193,77;24444554,43;17829855,40;20041235,32;27622658,63;29442792,30;201152647,22
"0301060061 ATENDIMENTO DE URGENCIA EM ATENCAO ESPECIALIZADA";23555895,00;23052865,00;21576269,00;23472713,00;30980411,00;23466124,00;25012592,00;34263603,00;37989281,00;243369753,00
"0301060096 ATENDIMENTO MEDICO EM UNIDADE DE PRONTO ATENDIMENTO";29338639,00;32542048,00;41163155,00;41139813,00;45378619,00;28189502,00;29565382,00;41563082,00;42115172,00;330995412,00
"0301060100 ATENDIMENTO ORTOPEDICO COM IMOBILIZACAO PROVISORIA";716495,00;685711,00;565565,00;669253,00;687102,00;631423,00;618306,00;758069,00;748241,00;6080165,00
"0301060118 ACOLHIMENTO COM CLASSIFICACAO DE RISCO";-;-;-;-;-;-;-;15625,00;7727,00;23352,00
"0301070016 ACOMPANHAMENTO DE PACIENTE C/ IMPLANTE COCLEAR";6037,86;5920,62;9261,96;8148,18;4630,98;-;-;-;-;33999,60
"0301070024 ACOMPANHAMENTO DE PACIENTE EM REABILITACAO EM COMUNICACAO ALTERNATIVA";65144,94;64504,02;71538,88;83137,35;464420,61;952572,03;1497320,46;2510641,95;2854217,43;8563497,67
"0301070032 ACOMPANHAMENTO DE PACIENTE P/ ADAPTACAO DE APARELHO DE AMPLIFICACAO SONORA INDIVIDUAL (AASI) UNI / B";28314,08;23024,16;17517,44;21658,32;12704,48;4379,36;3642,24;10493,12;11620,48;133353,68
"0301070040 ACOMPANHAMENTO NEUROPSICOLOGICO DE PACIENTE EM REABILITACAO";160565,72;77063,00;133433,44;217500,03;220238,88;628892,97;1269094,74;1641560,67;2103136,41;6451485,86
"0301070059 ACOMPANHAMENTO PSICOPEDAGOGICO DE PACIENTE EM REABILITACAO";57194,48;40362,70;72439,22;123972,72;122859,51;97891,80;87431,16;269326,14;251302,74;1122780,47
"0301070067 ATENDIMENTO / ACOMPANHAMENTO EM REABILITACAO NAS MULTIPLAS DEFICIENCIAS";999511,92;857861,18;905212,22;1138774,71;522953,88;183112,50;244144,86;782110,11;1116461,97;6750143,35
"0301070075 ATENDIMENTO / ACOMPANHAMENTO DE PACIENTE EM REABILITACAO DO DESENVOLVIMENTO NEUROPSICOMOTOR";10798403,28;11369585,08;11747407,42;13692920,26;13430931,66;13292204,49;16930757,88;21143003,16;22096423,35;134501636,58
"0301070083 ATENDIMENTO EM OFICINA TERAPEUTICA I EM GRUPO PARA PESSOAS COM DEFICIENCIA (POR OFICINA TERAPEUTIC";166400,10;172174,32;177921,90;201072,06;10735,92;839,16;2763,90;16903,08;37895,40;786705,84
"0301070091 ATENDIMENTO EM OFICINA TERAPEUTICA II EM GRUPO PARA PESSOAS COM DEFICIENCIA (POR OFICINA TERAPEUTI";1648020,56;1613719,40;1806805,40;1618060,68;54568,88;162318,44;358534,20;397984,32;686628,96;8346640,84
"0301070105 ATENDIMENTO/ACOMPANHAMENTO INTENSIVO DE PACIENTE EM REABILITACAO FISICA (1 TURNO PACIENTE-DIA - 15";445770,00;315285,75;262670,85;184292,55;174622,50;8985,60;33204,60;96700,50;97104,15;1618636,50
"0301070113 TERAPIA FONOAUDIOLOGICA INDIVIDUAL";230011,80;314454,10;209890,40;254722,10;215754,60;135737,70;246928,60;366447,10;371221,30;2345167,70
"0301070121 TRATAMENTO INTENSIVO DE PACIENTE EM REABILITACAO FISICA (1 TURNO PACIENTE- DIA - 20 ATENDIMENTOS-M";-;-;-;-;-;-;-;108,45;60189,75;60298,20
"0301070148 TREINO DE ORIENTACAO E MOBILIDADE";-;-;-;-;-;132,00;378,00;456,00;402,00;1368,00
"0301070156 AVALIACAO MULTIPROFISSIONAL EM DEFICIENCIA VISUAL";-;-;-;-;49,36;197,44;2073,12;2171,84;1308,04;5799,80
"0301070164 ATENDIMENTO/ACOMPANHAMENTO EM REABILITACAO VISUAL";-;-;-;-;-;564,00;4668,00;756,00;840,00;6828,00
"0301070180 ACOMPANHAMENTO DE PACIENTE COM PROTESE AUDITIVA ANCORADA NO OSSO";-;-;-;-;-;820,68;644,82;1172,40;1934,46;4572,36
"0301070199 ACOMPANHAMENTO DE PACIENTE COM IMPLANTE COCLEAR";-;-;-;-;293,10;9261,96;10317,12;15123,96;16061,88;51058,02
"0301070210 REABILITACAO DE PACIENTES POS COVID-19";-;-;-;-;-;-;-;826540,83;908420,58;1734961,41
"0301070229 REABILITACAO CARDIORRESPIRATORIA DE PACIENTES POS COVID-19";-;-;-;-;-;-;-;1670,13;2190,69;3860,82
"0301080143 ATENDIMENTO EM OFICINA TERAPEUTICA I - SAUDE MENTAL";9110,01;8706,75;4545,84;7179,25;13753,61;6146,66;13674,18;28796,43;64179,44;156092,17
"0301080151 ATENDIMENTO EM OFICINA TERAPEUTICA II - SAUDE MENTAL";46968,48;35203,20;36778,08;56163,00;77979,72;29969,04;64384,80;102529,32;253764,12;703739,76
"0301080160 ATENDIMENTO EM PSICOTERAPIA DE GRUPO";111900,62;135160,61;114360,22;80071,16;43484,61;6260,80;7982,52;20800,39;71317,22;591338,15
"0301080178 ATENDIMENTO INDIVIDUAL EM PSICOTERAPIA";109310,85;106039,20;110029,95;125370,75;139418,70;81520,95;103020,00;175162,05;235410,90;1185283,35
"0301100012 ADMINISTRACAO DE MEDICAMENTOS NA ATENCAO ESPECIALIZADA.";2030396,76;2019838,59;2450555,73;3215065,14;3954401,64;3397545,90;3584897,19;4373376,84;5157250,56;30183328,35
"0301110018 ACOMPANHAMENTO DE PACIENTE MEDIO / GRANDE QUEIMADO";68617,50;68118,75;34833,75;47591,25;50793,75;43181,25;25593,75;32749,50;51712,50;423192,00
"0301110026 ACOMPANHAMENTO DE PACIENTE PEQUENO QUEIMADO";10951,50;8064,00;7486,50;8998,50;6762,00;2163,00;9775,50;11497,50;15372,00;81070,50
"0301120013 ACOMPANHAMENTO DE PACIENTE COM FENILCETONURIA";110,00;-;-;-;-;-;-;-;-;110,00
"0301120021 ACOMPANHAMENTO DE PACIENTE COM FIBROSE CISTICA";1650,00;2530,00;3960,00;5197,50;5115,00;1182,50;467,50;192,50;-;20295,00
"0301120048 ACOMPANHAMENTO DE PACIENTE COM HIPOTIREOIDISMO CONGENITO";12127,50;4180,00;8662,50;12320,00;18040,00;2502,50;3547,50;14740,00;16527,50;92647,50
"0301120056 ACOMPANHAMENTO DE PACIENTE POS-CIRURGIA BARIATRICA POR EQUIPE MULTIPROFISSIONAL";3640,00;2520,00;2120,00;1600,00;6520,00;2960,00;1160,00;2120,00;1400,00;24040,00
"0301130019 AVALIACAO CLINICA E ELETRONICA DE DISPOSITIVO ELETRICO CARDIACO IMPLANTAVEL";5764,50;4788,00;2142,00;3874,50;5796,00;472,50;31,50;2740,50;1953,00;27562,50
"0302010017 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NO PRE/POS CIRURGIAS UROGINECOLOGICAS";12820,65;17303,75;14884,40;10439,40;8655,05;1219,20;4171,95;1568,45;1390,65;72453,50
"0302010025 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES C/ DISFUNCOES UROGINECOLOGICAS";4,67;-;677,15;2615,20;3455,80;2643,22;9265,28;13902,59;23452,74;56016,65
"0302020012 ATENDIMENTO FISIOTERAPEUTICO DE PACIENTE COM CUIDADOS PALIATIVOS";4667,25;16529,05;9429,75;7639,05;4972,05;1727,20;4038,60;8972,55;10979,15;68954,65
"0302020020 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE ONCOLOGICO CLINICO";546,39;1134,81;317,56;224,16;2400,38;663,14;1723,23;1910,03;1699,88;10619,58
"0302020039 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NO PRE E POS CIRURGIA ONCOLOGICA";8826,50;61677,55;125317,25;126961,90;155365,45;101860,35;115138,20;124593,35;120999,25;940739,80
"0302030018 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES COM ALTERACOES OCULOMOTORAS CENTRAIS C/ COMPROMETIMENTO";571,50;1320,80;177,80;342,90;565,15;127,00;336,55;742,95;285,75;4470,40
"0302030026 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM ALTERACOES OCULOMOTORAS PERIFERICAS";345,58;845,27;471,67;387,61;593,09;336,24;-;-;4716,70;7696,16
"0302040013 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO COM COMPLICACOES SISTEMICAS";74733,15;72326,50;39312,85;171323,00;202069,70;197370,70;210007,20;198266,05;219316,30;1384725,45
"0302040021 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO RESPIRATORIO SEM COMPLICACOES SISTEMICAS";114443,02;102039,50;96963,21;109754,34;114349,62;57506,38;111519,60;121802,94;147072,31;975450,92
"0302040030 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM TRANSTORNO CLINICO CARDIOVASCULAR";36738,89;45630,57;29509,73;11810,43;9760,30;4357,11;6500,64;9255,94;21388,60;174952,21
"0302040048 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE PRE/POS CIRURGIA CARDIOVASCULAR";8807,45;13252,45;17132,30;25679,40;19513,55;6127,75;5524,50;8991,60;10598,15;115627,15
"0302040056 ATENDIMENTO FISIOTERAPEUTICO NAS DISFUNCOES VASCULARES PERIFERICAS";30579,16;54008,55;53952,51;61466,54;73356,36;53578,91;86198,86;111542,95;128821,95;653505,79
"0302050019 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES NO PRE E POS-OPERATORIO NAS DISFUNCOES MUSCULO ESQUE";1340116,70;1513122,45;1500968,55;2307850,35;2247938,10;1316824,90;1890591,85;2559602,45;2636894,65;17313910,00
"0302050027 ATENDIMENTO FISIOTERAPEUTICO NAS ALTERACOES MOTORAS";3796144,93;4033591,08;3879560,47;4392536,62;3797447,86;2535156,20;3361321,23;4614898,67;4473976,75;34884633,81
"0302060014 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES COM DISTURBIOS NEURO-CINETICO-FUNCIONAIS SEM COMPLICAC";246258,44;267474,25;281955,92;353556,36;371867,43;188369,12;318381,92;459607,39;613110,29;3100581,12
"0302060022 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTES COM DISTURBIOS NEURO-CINETICO-FUNCIONAIS COM COMPLICAC";1078090,30;979373,20;740714,80;1066628,55;1008532,40;667188,15;862984,05;967695,55;823252,10;8194459,10
"0302060030 ATENDIMENTO FISIOTERAPEUTICO NAS DESORDENS DO DESENVOLVIMENTO NEURO MOTOR";117973,54;117095,58;124665,65;139861,83;149211,17;95006,48;83233,41;93974,41;127136,08;1048158,15
"0302060049 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE C/ COMPROMETIMENTO COGNITIVO";49930,05;48990,25;59220,10;80143,35;73672,70;31730,95;39662,10;76485,75;143040,10;602875,35
"0302060057 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE NO PRE/POS-OPERATORIO DE NEUROCIRURGIA";33547,05;38201,60;36760,15;51092,10;35833,05;31584,90;14624,05;19411,95;36982,40;298037,25
"0302070010 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE MEDIO QUEIMADO";2017,44;2087,49;653,80;46,70;-;51,37;340,91;312,89;256,85;5767,45
"0302070036 ATENDIMENTO FISIOTERAPEUTICO EM PACIENTE COM SEQUELAS POR QUEIMADURAS (MEDIO E GRANDE QUEIMADOS)";1573,79;1246,89;256,85;-;579,08;270,86;723,85;541,72;298,88;5491,92
"0303020016 PULSOTERAPIA I (POR APLICACAO)";16805,25;15072,75;24890,25;47932,50;65835,00;31878,00;33090,75;56710,50;82524,75;374739,75
"0303020024 PULSOTERAPIA II (POR APLICACAO)";7379,32;16165,40;17769,60;27913,08;25346,36;17078,56;49434,04;56912,08;69869,08;287867,52
"0303050012 ACOMPANHAMENTO E AVALIACAO DE GLAUCOMA POR FUNDOSCOPIA E TONOMETRIA";474970,76;577578,92;612579,94;417457,68;434434,86;340696,70;407984,52;389801,02;378855,44;4034359,84
"0303050039 TRATAMENTO OFTALMOLOGICO DE PACIENTE C/ GLAUCOMA BINOCULAR (1¶Ý LINHA )";77401,68;91657,92;90706,26;29258,88;19294,44;16327,50;17652,36;16532,76;14834,70;373666,50
"0303050047 TRATAMENTO OFTALMOLOGICO DE PACIENTE C/ GLAUCOMA BINOCULAR (2¶Ý LINHA)";154711,62;187257,42;184796,64;107321,76;71124,48;61995,78;60090,66;62630,82;55407,24;945336,42
"0303050055 TRATAMENTO OFTALMOLOGICO DE PACIENTE C/ GLAUCOMA BINOCULAR (3 ¶Ý LINHA)";500529,78;581029,20;593315,28;198113,04;90225,90;72436,68;76915,98;88050,24;83314,98;2283931,08
"0303050063 TRATAMENTO OFTALMOLOGICO DE PACIENTE C/ GLAUCOMA MONOCULAR (1¶Ý LINHA )";1642,08;1841,12;2201,88;510,04;37,32;24,88;62,20;37,32;99,52;6456,36
"0303050071 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA MONOCULAR (2¶Ý LINHA)";3016,44;4286,52;5927,04;1270,08;105,84;211,68;317,52;423,36;476,28;16034,76
"0303050080 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA MONOCULAR (3¶Ý LINHA)";11348,89;12799,50;16554,02;3071,88;597,31;85,33;597,31;853,30;682,64;46590,18
"0303050098 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA COM DISPENSACAO DE ACETAZOLAMIDA MONOCULAR OU BIN";6144,60;6889,40;6237,70;93,10;-;-;-;-;-;19364,80
"0303050101 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA COM DISPENSACAO DE PILOCARPINA MONOCULAR";-;8,93;8,93;-;-;-;-;-;-;17,86
"0303050110 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA COM DISPENSACAO DE PILOCARPINA BINOCULAR";13,39;-;-;-;-;-;-;-;-;13,39
"0303050128 CONSULTA OFTALMOLOGICA - PROJETO OLHAR BRASIL";63210,00;-;-;-;-;-;-;-;-;63210,00
"0303050152 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA - 1¶Ý LINHA ASSOCIADA A 2¶Ý LINHA - MONOCULAR";8235,36;10130,80;14052,40;3725,52;1241,84;915,04;1437,92;1111,12;1699,36;42549,36
"0303050160 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA - 1¶Ý LINHA ASSOCIADA A 2¶Ý LINHA - BINOCULAR";419317,08;487650,96;480199,92;243335,28;197452,56;184903,44;183825,00;172452,36;158334,60;2527471,20
"0303050179 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA - 1¶Ý LINHA ASSOCIADA A 3¶Ý LINHA - MONOCULAR";24442,50;28353,30;36174,90;7039,44;586,62;-;488,85;1075,47;1271,01;99432,09
"0303050187 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA - 1¶Ý LINHA ASSOCIADA A 3¶Ý LINHA - BINOCULAR";916206,72;1136166,72;1194676,08;471594,24;209108,64;175088,16;174648,24;202363,20;200456,88;4680308,88
"0303050195 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA - 2¶Ý LINHA ASSOCIADA A 3¶Ý LINHA - MONOCULAR";7189,00;13133,75;12166,00;4285,75;829,50;553,00;967,75;1382,50;1520,75;42028,00
"0303050209 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA - 2¶Ý LINHA ASSOCIADA A 3¶Ý LINHA - BINOCULAR";331983,36;358318,08;377395,20;192222,72;138516,48;138101,76;136650,24;156142,08;147225,60;1976555,52
"0303050217 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA MONOCULAR- ASSOCIACAO DE 1¶Ý, 2¶Ý E 3¶Ý LINHAS";89208,48;113469,57;158676,57;42042,51;12356,58;7082,43;6931,74;8438,64;9945,54;448152,06
"0303050225 TRATAMENTO OFTALMOLOGICO DE PACIENTE COM GLAUCOMA BINOCULAR - ASSOCIACAO 1¶Ý, 2¶Ý E 3¶Ý LINHAS";1922752,14;2464070,04;2907295,26;1252376,82;764173,62;676703,88;711510,96;900011,64;829719,42;12428613,78
"0303050233 TRATAMENTO MEDICAMENTOSO DE DOENCA DA RETINA";-;-;-;-;-;23891,04;68030,16;1169270,08;521896,96;1783088,24
"0303070013 DILATACAO DE ESOFAGO C/ OGIVAS SOB VISAO ENDOSCOPICA (POR SESSAO)";8959,50;12474,00;6286,50;3366,00;3069,00;3168,00;3019,50;792,00;4999,50;46134,00
"0303070048 RETIRADA DE CORPO ESTRANHO DO ESOFAGO";8217,00;11137,50;11187,00;14949,00;5841,00;3663,00;3465,00;3415,50;2970,00;64845,00
"0303070056 RETIRADA DE CORPO ESTRANHO DO ESTOMAGO / DUODENO";1228,50;803,25;2457,00;1606,50;1701,00;708,75;1134,00;756,00;425,25;10820,25
"0303080019 CAUTERIZACAO QUIMICA DE PEQUENAS LESOES";1077,44;1366,04;1884,04;1565,84;2239,24;904,28;1152,92;1999,48;2360,60;14549,88
"0303080027 DESBASTAMENTO DE CALOSIDADE E/OU MAL PERFURANTE (DESBASTAMENTO)";108,04;38,48;38,48;17,76;35,52;140,60;4,44;19,24;103,60;506,16
"0303080035 ESFOLIACAO QUIMICA";-;-;-;1,48;-;-;-;-;-;1,48
"0303080108 FOTOTERAPIA (POR SESSAO)";1540,00;5652,00;9480,00;16040,00;9128,00;8928,00;17384,00;26648,00;28172,00;122972,00
"0303090014 ARTROCENTESE DE GRANDES ARTICULACOES";7948,71;7242,84;5739,03;8409,06;12460,14;8102,16;8654,58;7519,05;11232,54;77308,11
"0303090030 INFILTRACAO DE SUBSTANCIAS EM CAVIDADE SINOVIAL (ARTICULACAO, BAINHA TENDINOSA)";6164,85;5911,50;3254,14;5590,59;4532,15;4126,79;2173,18;2336,45;3524,38;37614,03
"0303090073 REVISAO COM TROCA DE APARELHO GESSADO EM MEMBRO INFERIOR";540646,91;482282,05;392634,03;509085,34;430877,44;310553,70;232295,18;250265,28;291545,89;3440185,82
"0303090081 REVISAO COM IMOBILIZACAO NAO GESSADA EM LESAO DA COLUNA VERTEBRAL";3311,00;3454,00;583,00;55,00;165,00;-;-;44,00;-;7612,00
"0303090090 REVISAO COM TROCA DE APARELHO GESSADO EM MEMBRO SUPERIOR";550541,48;493483,99;408064,33;501190,86;448020,12;267386,19;225364,87;231672,51;261700,43;3387424,78
"0303090120 TRATAMENTO CONSERVADOR DE FRATURA NA CINTURA ESCAPULAR (COM IMOBILIZACAO)";213831,96;201976,80;211965,87;242847,83;201830,44;181705,94;199781,40;213356,29;192975,66;1860272,19
"0303090146 TRATAMENTO CONSERVADOR DE FRATURA DE COSTELAS";20695,04;23372,16;7474,88;7986,24;6226,56;5203,84;3384,00;2887,68;3353,92;80584,32
"0303090154 TRATAMENTO CONSERVADOR DE FRATURA DE PUNHO COM LUVA GESSADA";300055,68;275607,00;337033,80;280773,36;256690,80;203603,40;254209,32;296191,08;281302,20;2485466,64
"0303090162 TRATAMENTO CONSERVADOR DE FRATURA DE OSSO METACARPICO";33272,40;40073,25;45231,90;42161,70;50533,35;44589,30;45089,10;49301,70;50444,10;400696,80
"0303090189 TRATAMENTO CONSERVADOR DE FRATURA DO ESTERNO";7270,90;9603,98;6407,98;3259,92;479,40;415,48;319,60;-;-;27757,26
"0303090200 TRATAMENTO CONSERVADOR DE FRATURA EM MEMBRO INFERIOR COM IMOBILIZACAO";2131343,83;2037630,28;2060691,78;2086856,10;2357178,81;1676151,75;1704873,80;1760472,98;1638750,19;17453949,52
"0303090219 TRATAMENTO CONSERVADOR DE LESAO DA COLUNA CERVICAL COM IMOBILIZACAO";3711,24;13988,52;11752,26;5566,86;4520,10;5899,92;5662,02;5376,54;2379,00;58856,46
"0303090227 TRATAMENTO CONSERVADOR DE FRATURA EM MEMBRO SUPERIOR COM IMOBILIZACAO";1538478,28;1534939,73;1661661,45;1609748,84;1822852,81;1316174,08;1365214,22;1434653,06;1321128,05;13604850,52
"0303090235 TRATAMENTO CONSERVADOR DE LESAO DA COLUNA TORACO-LOMBO-SACRA C/ ORTESE";9616,14;7192,56;2345,40;3439,92;2501,76;1602,69;156,36;-;-;26854,83
"0303090251 TRATAMENTO CONSERVADOR DE LESAO DE COLUNA TORACO-LOMBO-SACRA COM IMOBILIZACAO";19698,12;25693,20;25264,98;27834,30;65945,88;61806,42;88641,54;62567,70;28833,48;406285,62
"0303090260 TRATAMENTO CONSERVADOR DE LESAO DE MECANISMO EXTENSOR DOS DEDOS";47748,75;36985,20;26453,70;13851,60;5640,60;4676,70;4212,60;7461,30;8139,60;155170,05
"0303090286 TRATAMENTO CONSERVADOR DE LESAO LIGAMENTAR EM MEMBRO COM IMOBILIZACAO";499347,20;431657,60;266112,00;370022,40;551161,60;403955,20;507056,00;615436,80;542713,60;4187462,40
"0303120053 TRATAMENTO DE DOR/METASTASE OSSEA COM RADIOISOTOPO (POR TRATAMENTO-EXCETO CANCER DE TIREOIDE)";936,76;936,76;-;468,38;-;-;-;-;-;2341,90
"0303120061 TRATAMENTO DE HIPERTIREOIDISMO (PLUMMER - ATE 30 MCI)";16416,90;7986,60;12867,30;10648,80;11979,90;3993,30;13311,00;21741,30;7986,60;106931,70
"0303120070 TRATAMENTO DE HIPERTIREOIDISMO GRAVES";74457,90;87407,10;56113,20;71580,30;52875,90;28416,30;30934,20;28776,00;30574,50;461135,40
"0303140011 LAVAGEM NASAL PELO METODO DE PROETZ (POR SESSAO)";-;12,96;10,08;246,24;735,84;342,72;267,84;1408,32;5454,72;8478,72
"0304010073 BRAQUITERAPIA DE ALTA TAXA DE DOSE (POR INSERCAO)";2156000,00;2303000,00;2116000,00;2370000,00;817000,00;-;-;-;-;9762000,00
"0304010081 VERIFICACAO POR IMAGEM EM RADIOTERAPIA";228360,00;246360,00;255570,00;255000,00;100920,00;-;-;-;-;1086210,00
"0304010090 COBALTOTERAPIA (POR CAMPO)";548160,00;246810,00;557280,00;21870,00;-;-;-;-;-;1374120,00
"0304010154 MASCARA / IMOBILIZACAO PERSONALIZADA (POR TRATAMENTO)";143975,00;179400,00;233740,00;224705,00;93145,00;-;-;-;-;874965,00
"0304010170 NARCOSE DE CRIANCA (POR PROCEDIMENTO)";-;-;550,00;550,00;660,00;902,00;-;-;-;2662,00
"0304010189 PLANEJAMENTO COMPLEXO (POR TRATAMENTO)";277320,00;317040,00;366480,00;336240,00;141960,00;-;-;-;-;1439040,00
"0304010197 PLANEJAMENTO DE BRAQUITERAPIA DE ALTA TAXA DE DOSE (POR TRATAMENTO)";65880,00;69240,00;65640,00;72360,00;24600,00;-;-;-;-;297720,00
"0304010200 PLANEJAMENTO SIMPLES (POR TRATAMENTO)";147300,00;128040,00;137820,00;134100,00;43020,00;-;-;-;-;590280,00
"0304010235 RADIOTERAPIA DE DOENCA OU CONDICAO BENIGNA (POR CAMPO)";-;-;225,72;1730,52;1805,76;-;-;-;-;3762,00
"0304010286 RADIOTERAPIA COM ACELERADOR LINEAR SO DE FOTONS (POR CAMPO)";6402450,00;6720840,00;8436180,00;7353120,00;2534070,00;-;-;-;-;31446660,00
"0304010294 RADIOTERAPIA COM ACELERADOR LINEAR DE FOTONS E ELETRONS (POR CAMPO)";8153845,00;9581775,00;9255540,00;9546985,00;4432540,00;-;-;-;-;40970685,00
"0304010308 COLIMACAO PERSONALIZADA";662324,00;714428,00;772356,00;749060,00;319488,00;-;-;-;-;3217656,00
"0304010316 PLANEJAMENTO TRIDIMENSIONAL (POR TRATAMENTO).";403200,00;472800,00;535200,00;487200,00;192960,00;-;-;-;-;2091360,00
"0304010340 NARCOSE PARA BRAQUITERAPIA (POR PROCEDIMENTO)";3630,00;2684,00;2728,00;2882,00;836,00;704,00;880,00;1650,00;1672,00;17666,00
"0304010367 RADIOTERAPIA DE CABECA E PESCOCO";-;-;-;-;2075664,00;2850912,00;2525808,00;3067648,00;2846744,00;13366776,00
