 Produção Ambulatorial do SUS - Brasil - por local de atendimento
Valor aprovado por Município e Ano atendimento
Procedimento: 0301130051 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 04 PRE DIALISE, 0301130060 ACOMPANHAMENTO MULTIPROFISSIONAL EM DRC ESTAGIO 05 PRE DIALISE, 0305010018 DIALISE PERITONEAL INTERMITENTE DPI (1 SESSAO POR SEMANA -EXCEPCIONALIDADE), 0305010026 DIALISE PERITONEAL INTERMITENTE DPI (MAXIMO 2 SESSOES POR SEMANA), 0305010034 DIALISE PERITONEAL P/ PACIENTES RENAIS AGUDOS, 0305010042 HEMODIALISE CONTINUA, 0305010050 HEMODIALISE I (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010069 HEMODIALISE I (MAXIMO 3 SESSOES POR SEMANA), 0305010077 HEMODIALISE I EM PORTADOR DE HIV (EXCEPCIONALIDADE - MAXIMO 1 SESSAO POR SEMANA), 0305010085 HEMODIALISE I EM PORTADOR DE HIV (MAXIMO 3 SESSOES POR SEMANA), 0305010093 HEMODIALISE (MAXIMO 1 SESSAO POR SEMANA - EXCEPCIONALIDADE), 0305010107 HEMODIALISE (MAXIMO 3 SESSOES POR SEMANA), 0305010115 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (MAXIMO 3 S, 0305010123 HEMODIALISE EM PACIENTE COM SOROLOGIA POSITIVA PARA HIV E/OU HEPATITE B E/OU HEPATITE C (EXCEPCIONAL, 0305010131 HEMODIALISE P/ PACIENTES RENAIS AGUDOS / CRONICOS AGUDIZADOS S/ TRATATAMENTO DIALITICO INICIADO, 0305010182 TREINAMENTO DE PACIENTE SUBMETIDO A DIALISE PERITONEAL - DPAC-DPA (9 DIAS), 0305010204 HEMODIALISE PEDIATRICA (MAXIMO 04 SESSOES POR SEMANA), 0305010220 COMPLEMENTACAO DE VALOR DE SESSAO DE HEMODIALISE EM PACIENTE COM SUSPEICAO OU CONFIRMACAO DE, 0405050054 CICLODIALISE, 0418010030 CONFECCAO DE FISTULA ARTERIO-VENOSA P/ HEMODIALISE, 0418010048 IMPLANTE DE CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0418010064 IMPLANTE DE CATETER DUPLO LUMEN P/HEMODIALISE, 0702100013 CATETER DE LONGA PERMANENCIA P/ HEMODIALISE, 0702100021 CATETER P/ SUBCLAVIA DUPLO LUMEN P/ HEMODIALISE
Período:Jan/2015-Abr/2026
"Município";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"Total"
"351840 GUARATINGUETA";-;2966527,33;2364242,90;2855667,24;2899433,42;3239838,92;3230447,52;3184528,05;3370828,08;3903481,56;4113687,43;3958030,67;1006873,63;37093586,75
"351870 GUARUJA";-;3771464,45;4155060,24;4231272,69;4323896,15;4282639,67;4213203,03;3913525,35;4350170,58;4746884,35;5295463,99;5381974,38;1865973,71;50531528,59
"351880 GUARULHOS";4879,26;16240606,71;16822541,80;17597068,81;17665266,68;18297932,21;19279887,49;19212483,47;21531317,72;23094675,70;26056200,47;27974438,07;9607050,43;233384348,82
"351907 HORTOLANDIA";-;-;-;-;-;3164467,72;4514789,91;4258786,68;4990948,38;5856377,30;6543267,32;5175992,33;-;34504629,64
"352044 ILHA SOLTEIRA";-;2288204,34;2232659,93;2135692,75;2109208,73;2202239,73;2288002,07;2037732,93;2111326,50;2232817,42;3062397,12;2852748,69;994689,14;26547719,35
"352050 INDAIATUBA";-;2255701,36;2530917,33;2639679,53;2607277,92;2724011,55;3351227,17;3364497,57;3720156,40;4163905,37;5511875,06;6815843,12;2235912,85;41921005,23
"352220 ITAPECERICA DA SERRA";-;3567395,45;4143859,59;5006892,86;5067591,25;5549206,44;6072446,18;6066950,48;6498018,06;6899412,86;7718519,46;7513733,77;2443038,20;66547064,60
"352230 ITAPETININGA";-;5079613,05;5237417,51;5600138,14;5523042,64;5595500,26;5571030,22;5452637,80;4255134,65;7854655,60;8748866,50;8231485,21;2682682,45;69832204,03
"352240 ITAPEVA";-;4208421,95;4308164,71;4623803,45;4970350,52;5509084,08;5580400,69;5578835,42;6325808,01;6614354,41;6967232,51;6958986,03;2324208,32;63969650,10
"352250 ITAPEVI";-;-;-;-;-;-;-;-;-;3373040,50;3541267,38;1400662,55;-;8314970,43
"352260 ITAPIRA";-;-;-;-;-;-;-;-;-;-;11310,40;10133,54;3765,42;25209,36
"352310 ITAQUAQUECETUBA";-;-;-;-;-;-;-;-;-;-;786704,17;4706814,42;1641402,91;7134921,50
"352340 ITATIBA";-;-;-;-;1523586,21;2209558,01;2296240,65;2344370,39;2582011,61;2710910,82;2823146,36;3018804,04;1050700,28;20559328,37
"352390 ITU";1253,21;5485190,24;6000124,97;7179038,08;10336831,93;15206305,90;16525541,15;15513461,54;9289309,98;9730349,20;11128214,80;10873739,40;3656407,85;120925768,25
"352410 ITUVERAVA";-;3268034,19;3398378,40;3148738,67;3140902,10;3107155,42;3371749,67;3094673,18;3293219,87;3965778,64;4382790,08;4662682,10;1561936,25;40396038,57
