cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
240020,ASSU,24,1866097.4,2127359.37,2560944.03,2776013.74,2843786.11,3235936.0,3703247.64,4289086.65,3046275.78,0.0,0.0,0.0
240200,CAICO,24,4436022.03,4508280.46,5683529.7,6046957.28,6297795.13,6329046.63,6865964.0,7966404.07,8479645.3,10003907.52,10204958.74,3496107.0
240325,PARNAMIRIM,24,4039293.18,3932223.58,4150950.18,4538739.61,4531039.75,5282862.78,6264790.31,2377609.63,0.0,0.0,0.0,456884.01
240800,MOSSORO,24,8087930.52,8153727.8,8994341.41,9355505.06,9837651.58,10030108.21,10229693.75,12641730.81,14916800.42,19175608.0,18769870.65,5736657.46
240810,NATAL,24,24872177.78,25115495.24,27963136.59,26868649.82,27461810.03,28415425.55,29052657.39,38135285.79,49659824.85,53755087.14,54329124.73,19057075.22
240940,PAU DOS FERROS,24,2441652.98,2538595.8,2979233.73,3227680.82,3381703.37,3655645.2,4159661.2,5014189.22,5465620.08,6407162.13,6625243.18,2298135.44
241120,SANTA CRUZ,24,0.0,0.0,0.0,2154641.49,2731227.52,3345841.22,3610444.0,4375313.08,5039600.89,5995446.76,6417093.9,2283477.2
250370,CAJAZEIRAS,25,0.0,0.0,0.0,400780.95,2683200.7,2909908.35,3274180.04,3940788.06,4274858.09,4936626.44,5181149.65,1949021.74
250400,CAMPINA GRANDE,25,16492547.33,16487474.23,17763925.03,18709324.2,19751726.33,21016291.74,21281120.39,23808331.6,22976268.67,24449342.67,25613635.92,8435013.08
250630,GUARABIRA,25,0.0,0.0,0.0,246561.6,1970684.77,2378939.26,2725866.08,3325756.75,3945816.12,4519203.14,4771169.85,1684208.61
250750,JOAO PESSOA,25,12139709.84,13338228.39,16156501.43,18053261.74,21001055.52,21769708.61,21600291.31,24986593.78,28855318.94,33922584.4,32091465.43,7685400.69
250970,MONTEIRO,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13722.1,10310.4,16311.88
251080,PATOS,25,2168390.31,2269004.93,2610490.62,2991162.81,4433079.35,4486130.0,5656009.93,6984032.78,7822178.26,9404482.0,9560562.6,2818814.54
251620,SOUSA,25,2955501.26,3007470.37,3245061.24,3469184.21,3710998.49,3453706.58,3659682.38,4279117.12,4540547.29,4786737.17,4861990.32,1711760.41
260110,ARARIPINA,26,0.0,0.0,0.0,2990056.75,4449264.51,4357198.89,4747427.17,5773848.54,5540823.93,6356488.03,6422480.33,2145526.82
260120,ARCOVERDE,26,8689600.7,8865093.52,9901002.5,10109631.36,10531756.66,10952464.26,10280561.73,12086952.12,10837591.83,11370356.64,12986976.06,4496782.57
260290,CABO DE SANTO AGOSTINHO,26,7036891.26,7550568.04,8250984.58,8310509.27,8654870.35,9166558.51,9784518.81,11205249.66,11664113.6,13268881.57,13663386.36,4594813.28
