cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023
250370,CAJAZEIRAS,25,0.0,0.0,0.0,2061.0,13715.0,15037.0,16918.0,17938.0,18530.0
250400,CAMPINA GRANDE,25,91696.0,91459.0,91046.0,95832.0,101263.0,108656.0,109815.0,108916.0,100429.0
250630,GUARABIRA,25,0.0,0.0,0.0,1255.0,10106.0,12359.0,14144.0,15242.0,17302.0
250750,JOAO PESSOA,25,66398.0,70986.0,79264.0,89207.0,104355.0,107975.0,107932.0,112600.0,123564.0
250970,MONTEIRO,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251080,PATOS,25,12085.0,12670.0,13457.0,15347.0,22741.0,23471.0,29279.0,32220.0,34394.0
251620,SOUSA,25,16395.0,16616.0,16524.0,17705.0,18924.0,18131.0,18725.0,19603.0,19852.0
260110,ARARIPINA,26,0.0,0.0,0.0,15311.0,22786.0,22406.0,24347.0,26380.0,24302.0
260120,ARCOVERDE,26,47984.0,48707.0,50614.0,51870.0,53738.0,57036.0,55488.0,56985.0,47455.0
260290,CABO DE SANTO AGOSTINHO,26,38532.0,41358.0,41863.0,42243.0,43865.0,46956.0,50536.0,52646.0,50762.0
260400,CARPINA,26,64420.0,67875.0,73154.0,74797.0,75119.0,87707.0,90302.0,95381.0,99438.0
260410,CARUARU,26,50528.0,48707.0,51465.0,60174.0,66154.0,65648.0,64249.0,69139.0,79304.0
260600,GARANHUNS,26,38660.0,37993.0,41043.0,44097.0,47566.0,46786.0,46614.0,50364.0,54268.0
260790,JABOATAO DOS GUARARAPES,26,45320.0,50496.0,50669.0,48925.0,50454.0,50820.0,52225.0,52744.0,55468.0
260960,OLINDA,26,26664.0,23382.0,23496.0,23002.0,24517.0,25676.0,23349.0,19018.0,15555.0
261000,PALMARES,26,30338.0,29669.0,31489.0,32328.0,37564.0,38128.0,38606.0,41643.0,41938.0
261070,PAULISTA,26,0.0,0.0,0.0,0.0,0.0,383.0,23095.0,36243.0,37200.0
261110,PETROLINA,26,27488.0,26358.0,25260.0,24961.0,24881.0,24727.0,23685.0,22442.0,20775.0
261160,RECIFE,26,295893.0,305157.0,317160.0,336544.0,346932.0,358044.0,342547.0,342951.0,354964.0
261220,SALGUEIRO,26,18198.0,17665.0,18376.0,18679.0,18842.0,19566.0,19775.0,22120.0,22901.0
261390,SERRA TALHADA,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2484.0,17332.0
261640,VITORIA DE SANTO ANTAO,26,45527.0,45039.0,45886.0,46178.0,49455.0,52009.0,52959.0,56432.0,56667.0
270030,ARAPIRACA,27,54819.0,59016.0,61092.0,64779.0,66594.0,66557.0,66999.0,69792.0,75650.0
270430,MACEIO,27,133187.0,133653.0,131516.0,136645.0,146674.0,154928.0,153275.0,162076.0,171392.0
270630,PALMEIRA DOS INDIOS,27,21425.0,21607.0,21566.0,21168.0,21747.0,21764.0,21260.0,21090.0,21312.0
270800,SANTANA DO IPANEMA,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270840,SAO JOSE DA TAPERA,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270860,SAO MIGUEL DOS CAMPOS,27,13968.0,14939.0,14865.0,15362.0,15971.0,17449.0,20745.0,24403.0,25727.0
280030,ARACAJU,28,101545.0,103463.0,93795.0,95954.0,98059.0,101616.0,103641.0,97663.0,105340.0
280210,ESTANCIA,28,0.0,0.0,17459.0,18347.0,19423.0,19308.0,17118.0,16718.0,17069.0
280290,ITABAIANA,28,14538.0,19135.0,20356.0,20574.0,21022.0,20626.0,20249.0,22325.0,23967.0
280350,LAGARTO,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11815.0,18510.0
290070,ALAGOINHAS,29,22066.0,21912.0,24925.0,27527.0,31005.0,32532.0,31616.0,34374.0,38994.0
290320,BARREIRAS,29,14408.0,13214.0,11489.0,14801.0,22034.0,29225.0,27375.0,28036.0,24952.0
290390,BOM JESUS DA LAPA,29,0.0,0.0,0.0,0.0,0.0,0.0,12.0,71.0,39.0
290460,BRUMADO,29,19005.0,26890.0,30566.0,33460.0,33043.0,31408.0,23110.0,21292.0,22406.0
290570,CAMACARI,29,31772.0,32764.0,32379.0,32232.0,32428.0,34552.0,34992.0,34957.0,41649.0
291070,EUCLIDES DA CUNHA,29,0.0,0.0,0.0,0.0,2160.0,14394.0,22013.0,27788.0,33339.0
291072,EUNAPOLIS,29,31858.0,33934.0,32850.0,32412.0,32289.0,33103.0,34215.0,36017.0,38117.0
291080,FEIRA DE SANTANA,29,92800.0,91161.0,96169.0,94532.0,92831.0,88949.0,81103.0,80848.0,79900.0
291170,GUANAMBI,29,28339.0,29734.0,33682.0,35208.0,35520.0,34551.0,35637.0,36359.0,36805.0
291360,ILHEUS,29,25837.0,26749.0,28063.0,36028.0,37336.0,36776.0,34680.0,36799.0,38179.0
291460,IRECE,29,39.0,2.0,2.0,19136.0,34318.0,35402.0,37651.0,37372.0,34944.0
291470,ITABERABA,29,0.0,65.0,180.0,155.0,2018.0,23791.0,25992.0,27545.0,26325.0
291480,ITABUNA,29,35526.0,35078.0,37514.0,36718.0,35352.0,35004.0,35020.0,36849.0,39784.0
291640,ITAPETINGA,29,0.0,0.0,2.0,12.0,1790.0,22828.0,24468.0,23982.0,25607.0
291750,JACOBINA,29,16886.0,16676.0,17558.0,21233.0,26528.0,29120.0,29534.0,29909.0,33580.0
291800,JEQUIE,29,36886.0,40320.0,41967.0,42393.0,41537.0,42204.0,41751.0,42091.0,44235.0
291840,JUAZEIRO,29,36493.0,42847.0,46089.0,49722.0,52386.0,61042.0,66392.0,69963.0,75745.0
291920,LAURO DE FREITAS,29,18215.0,17767.0,16427.0,23858.0,23261.0,25360.0,23642.0,26956.0,25774.0
292400,PAULO AFONSO,29,32405.0,33116.0,35813.0,39176.0,40761.0,45571.0,49543.0,53683.0,55692.0
292530,PORTO SEGURO,29,0.0,0.0,10.0,5.0,8.0,0.0,0.0,0.0,0.0
292660,RIBEIRA DO POMBAL,29,18677.0,22007.0,25596.0,27543.0,28426.0,26719.0,26814.0,26088.0,29602.0
292740,SALVADOR,29,248882.0,245904.0,239534.0,233518.0,232181.0,228875.0,223404.0,224501.0,229026.0
292860,SANTO AMARO,29,0.0,0.0,0.0,0.0,0.0,4.0,53.0,46.0,19963.0
292870,SANTO ANTONIO DE JESUS,29,31089.0,26764.0,29322.0,32263.0,36703.0,38234.0,33238.0,36046.0,37627.0
292880,SANTO ESTEVAO,29,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1190.0,13511.0
292990,SEABRA,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
293010,SENHOR DO BONFIM,29,29777.0,31168.0,31594.0,31440.0,31920.0,31689.0,31308.0,32137.0,32274.0
293050,SERRINHA,29,28142.0,29751.0,31179.0,33614.0,35071.0,32063.0,31330.0,32543.0,34197.0
293135,TEIXEIRA DE FREITAS,29,0.0,0.0,0.0,0.0,2432.0,31976.0,32683.0,33365.0,35173.0
293290,VALENCA,29,20230.0,27067.0,29733.0,32499.0,33062.0,34479.0,35426.0,34400.0,36219.0
293330,VITORIA DA CONQUISTA,29,68050.0,69310.0,62766.0,66616.0,68596.0,70693.0,76966.0,78440.0,76638.0
310160,ALFENAS,31,39948.0,41122.0,40364.0,41109.0,41140.0,46827.0,50242.0,49749.0,49371.0
310350,ARAGUARI,31,13977.0,13908.0,15088.0,15817.0,15143.0,16438.0,17285.0,17963.0,19847.0
310400,ARAXA,31,19029.0,20303.0,20598.0,21701.0,23477.0,24715.0,24240.0,23465.0,23433.0
310560,BARBACENA,31,23445.0,23330.0,24906.0,25309.0,24320.0,25361.0,25089.0,23919.0,26139.0
310620,BELO HORIZONTE,31,344592.0,360134.0,351557.0,344558.0,352346.0,362954.0,359261.0,357849.0,370560.0
310670,BETIM,31,30918.0,32483.0,34183.0,61126.0,68214.0,69230.0,69537.0,72024.0,75149.0
310740,BOM DESPACHO,31,17310.0,18621.0,20048.0,20154.0,20572.0,21309.0,21738.0,21379.0,20946.0
310860,BRASILIA DE MINAS,31,23026.0,25900.0,29393.0,30574.0,30832.0,30900.0,32512.0,34688.0,37697.0
311120,CAMPO BELO,31,18710.0,21046.0,22789.0,23182.0,24734.0,26190.0,25530.0,25246.0,20331.0
311330,CARANGOLA,31,12424.0,13348.0,14711.0,16515.0,15314.0,15160.0,15504.0,16493.0,16613.0
