data,ano,mes,mes_nome,grupo_procedimento,valor_aprovado,qtd_aprovada,custo_medio
2023-09-01,2023,9,Setembro,"07 Orteses, proteses e materiais especiais",1295783.2,77060.0,16.81525045419154
2023-10-01,2023,10,Outubro,03 Procedimentos clinicos,359620217.04,14729520.0,24.414931174946638
2023-10-01,2023,10,Outubro,04 Procedimentos cirurgicos,3914017.44,113320.0,34.53951147193787
2023-10-01,2023,10,Outubro,"07 Orteses, proteses e materiais especiais",1328794.62,78740.0,16.875725425450852
2023-11-01,2023,11,Novembro,03 Procedimentos clinicos,360148233.08,14752540.0,24.41262542450317
2023-11-01,2023,11,Novembro,04 Procedimentos cirurgicos,3725377.49,110550.0,33.69857521483492
2023-11-01,2023,11,Novembro,"07 Orteses, proteses e materiais especiais",1325621.38,78250.0,16.940848306709263
2023-12-01,2023,12,Dezembro,03 Procedimentos clinicos,370278047.26,15167470.0,24.41264411665228
2023-12-01,2023,12,Dezembro,04 Procedimentos cirurgicos,3431777.27,106310.0,32.28085100178723
2023-12-01,2023,12,Dezembro,"07 Orteses, proteses e materiais especiais",1273298.64,77070.0,16.52132658622032
2024-01-01,2024,1,Janeiro,03 Procedimentos clinicos,370531842.1,15180470.0,24.408456530002038
2024-01-01,2024,1,Janeiro,04 Procedimentos cirurgicos,3879147.84,116380.0,33.33173947413645
2024-01-01,2024,1,Janeiro,"07 Orteses, proteses e materiais especiais",1436723.0,83090.0,17.291166205319534
2024-02-01,2024,2,Fevereiro,03 Procedimentos clinicos,351186165.03,14390750.0,24.403604053298125
2024-02-01,2024,2,Fevereiro,04 Procedimentos cirurgicos,3751629.83,109140.0,34.37447159611508
2024-02-01,2024,2,Fevereiro,"07 Orteses, proteses e materiais especiais",1367046.72,78650.0,17.381395041322314
2024-03-01,2024,3,Março,03 Procedimentos clinicos,364819780.8,14950170.0,24.40238343778031
2024-03-01,2024,3,Março,04 Procedimentos cirurgicos,3922863.01,112330.0,34.922665450013355
2024-03-01,2024,3,Março,"07 Orteses, proteses e materiais especiais",1370914.6,80150.0,17.10436182158453
2024-04-01,2024,4,Abril,03 Procedimentos clinicos,368121733.35,15089110.0,24.396517312816993
2024-04-01,2024,4,Abril,04 Procedimentos cirurgicos,4252385.3,119080.0,35.71032331205912
2024-04-01,2024,4,Abril,"07 Orteses, proteses e materiais especiais",1476210.12,83900.0,17.59487628128725
2024-05-01,2024,5,Maio,03 Procedimentos clinicos,381951307.97,15650170.0,24.405569266659725
2024-05-01,2024,5,Maio,04 Procedimentos cirurgicos,4123666.41,117550.0,35.08010557209698
2024-05-01,2024,5,Maio,"07 Orteses, proteses e materiais especiais",1521129.92,83480.0,18.221489218974604
2024-06-01,2024,6,Junho,03 Procedimentos clinicos,355670846.42,14576790.0,24.39980588456032
2024-06-01,2024,6,Junho,04 Procedimentos cirurgicos,3911686.72,109040.0,35.87386940572267
2024-06-01,2024,6,Junho,"07 Orteses, proteses e materiais especiais",1399795.11,76150.0,18.382076296782667
2024-07-01,2024,7,Julho,03 Procedimentos clinicos,385108685.24,15781630.0,24.4023390004708
2024-07-01,2024,7,Julho,04 Procedimentos cirurgicos,4028500.26,112890.0,35.68518256710072
2024-07-01,2024,7,Julho,"07 Orteses, proteses e materiais especiais",1423408.17,78570.0,18.116433371515846
2024-08-01,2024,8,Agosto,03 Procedimentos clinicos,385546774.67,15803340.0,24.396537356660048
2024-08-01,2024,8,Agosto,04 Procedimentos cirurgicos,4104737.46,112550.0,36.470346157263435
2024-08-01,2024,8,Agosto,"07 Orteses, proteses e materiais especiais",1467251.54,78580.0,18.672073555612116
2024-09-01,2024,9,Setembro,03 Procedimentos clinicos,361174558.49,14802400.0,24.399729671539752
2024-09-01,2024,9,Setembro,04 Procedimentos cirurgicos,3881828.61,108360.0,35.823446013289036
2024-09-01,2024,9,Setembro,"07 Orteses, proteses e materiais especiais",1440882.02,75930.0,18.976452258659293
2024-10-01,2024,10,Outubro,03 Procedimentos clinicos,390360747.99,16006340.0,24.387883050716155
2024-10-01,2024,10,Outubro,04 Procedimentos cirurgicos,4170735.39,116190.0,35.89582055254325
2024-10-01,2024,10,Outubro,"07 Orteses, proteses e materiais especiais",1562072.76,82070.0,19.033419763616426
2024-11-01,2024,11,Novembro,03 Procedimentos clinicos,378078380.85,15498960.0,24.393790347868503
2024-11-01,2024,11,Novembro,04 Procedimentos cirurgicos,3785032.43,107010.0,35.37082917484347
2024-11-01,2024,11,Novembro,"07 Orteses, proteses e materiais especiais",1388666.5,74960.0,18.52543356456777
2024-12-01,2024,12,Dezembro,03 Procedimentos clinicos,386003201.7,15821210.0,24.39783061472542
2024-12-01,2024,12,Dezembro,04 Procedimentos cirurgicos,3452386.84,103310.0,33.41774116736037
2024-12-01,2024,12,Dezembro,"07 Orteses, proteses e materiais especiais",1351421.54,75270.0,17.954318320712105
2025-01-01,2025,1,Janeiro,03 Procedimentos clinicos,387145305.34,15875330.0,24.386598914164303
2025-01-01,2025,1,Janeiro,04 Procedimentos cirurgicos,3668802.12,111160.0,33.00469701331414
2025-01-01,2025,1,Janeiro,"07 Orteses, proteses e materiais especiais",1516513.78,80000.0,18.95642225
2025-02-01,2025,2,Fevereiro,03 Procedimentos clinicos,354230244.83,14477420.0,24.467774287822
2025-02-01,2025,2,Fevereiro,04 Procedimentos cirurgicos,3828956.93,108620.0,35.25093840913276
2025-02-01,2025,2,Fevereiro,"07 Orteses, proteses e materiais especiais",1454820.7,75890.0,19.170123863486626
2025-03-01,2025,3,Março,03 Procedimentos clinicos,384499065.24,15711940.0,24.471775302095097
2025-03-01,2025,3,Março,04 Procedimentos cirurgicos,3694793.1,109090.0,33.869218993491614
2025-03-01,2025,3,Março,"07 Orteses, proteses e materiais especiais",1511006.74,77860.0,19.406713845363473
2025-04-01,2025,4,Abril,03 Procedimentos clinicos,384690089.07,15722280.0,24.467830942458725
2025-04-01,2025,4,Abril,04 Procedimentos cirurgicos,3755632.89,112610.0,33.3507938016162
2025-04-01,2025,4,Abril,"07 Orteses, proteses e materiais especiais",1577802.12,80630.0,19.568425151928565
2025-05-01,2025,5,Maio,03 Procedimentos clinicos,399208837.93,16317170.0,24.465568351006947
2025-05-01,2025,5,Maio,04 Procedimentos cirurgicos,4009276.81,116490.0,34.417347497639284
2025-05-01,2025,5,Maio,"07 Orteses, proteses e materiais especiais",1602636.06,81950.0,19.556266748017084
2025-06-01,2025,6,Junho,03 Procedimentos clinicos,371950604.56,15199790.0,24.47077259356873
2025-06-01,2025,6,Junho,04 Procedimentos cirurgicos,3666903.42,107830.0,34.006337939348974
2025-06-01,2025,6,Junho,"07 Orteses, proteses e materiais especiais",1526209.16,76790.0,19.875103008204192
2025-07-01,2025,7,Julho,03 Procedimentos clinicos,400397916.32,16367640.0,24.462776326947562
