cod_municipio,municipio,uf_ibge,ano,valor_aprovado,qtd_aprovada,custo_medio
320230,GUACUI,32,2015,0.0,0.0,
320240,GUARAPARI,32,2015,2480240.96,13654.0,181.64940383770323
320320,LINHARES,32,2015,4798738.1,26494.0,181.12546614327772
320490,SAO MATEUS,32,2015,5338965.4,29505.0,180.9512082697848
320500,SERRA,32,2015,8053090.01,44491.0,181.00492256860937
320520,VILA VELHA,32,2015,3746105.47,20651.0,181.40068132293837
320530,VITORIA,32,2015,7169388.35,39477.0,181.60924968969272
330010,ANGRA DOS REIS,33,2015,3725784.86,20333.0,183.23832489057196
330020,ARARUAMA,33,2015,3605943.87,19723.0,182.82938041880038
330023,ARMACAO DOS BUZIOS,33,2015,0.0,0.0,
330030,BARRA DO PIRAI,33,2015,4458715.55,24430.0,182.50984650020465
330040,BARRA MANSA,33,2015,1699094.43,9310.0,182.50208700322233
330045,BELFORD ROXO,33,2015,12716421.99,69087.0,184.06389031221502
330060,BOM JESUS DO ITABAPOANA,33,2015,0.0,0.0,
330070,CABO FRIO,33,2015,4633745.19,25328.0,182.94951002842706
330100,CAMPOS DOS GOYTACAZES,33,2015,9971645.1,54383.0,183.35959950719894
330170,DUQUE DE CAXIAS,33,2015,15758330.74,84692.0,186.06634322013886
330190,ITABORAI,33,2015,6793941.96,36739.0,184.9245205367593
330220,ITAPERUNA,33,2015,4416830.42,24233.0,182.26511038666283
330227,JAPERI,33,2015,3686683.65,20074.0,183.6546602570489
330240,MACAE,33,2015,4041266.51,22132.0,182.5983422194108
330250,MAGE,33,2015,5039448.95,27029.0,186.4460005919568
330320,NILOPOLIS,33,2015,2870348.57,15361.0,186.859486361565
330330,NITEROI,33,2015,9263733.21,49238.0,188.14194747958896
330340,NOVA FRIBURGO,33,2015,4013926.33,22186.0,180.9215870368701
330350,NOVA IGUACU,33,2015,9398080.22,50767.0,185.1218354442847
330360,PARACAMBI,33,2015,2052030.45,11138.0,184.23688723289638
330390,PETROPOLIS,33,2015,4079062.86,22426.0,181.88989833229286
330400,PIRAI,33,2015,0.0,0.0,
330414,QUEIMADOS,33,2015,6910654.73,37433.0,184.6139697593033
330420,RESENDE,33,2015,1151040.48,6418.0,179.3456653162979
330430,RIO BONITO,33,2015,3753142.57,20473.0,183.3215732916524
330455,RIO DE JANEIRO,33,2015,86303419.91,463254.0,186.29827245960098
330470,SANTO ANTONIO DE PADUA,33,2015,3430886.02,18974.0,180.82038684515652
330490,SAO GONCALO,33,2015,14562389.45,78600.0,185.27213040712468
330510,SAO JOAO DE MERITI,33,2015,9111772.96,48873.0,186.43776645591637
330580,TERESOPOLIS,33,2015,0.0,0.0,
330600,TRES RIOS,33,2015,3855070.56,21279.0,181.16784435358804
330610,VALENCA,33,2015,3216185.3,17797.0,180.71502500421417
330620,VASSOURAS,33,2015,1529572.02,8351.0,183.1603424739552
330630,VOLTA REDONDA,33,2015,1336979.8,7389.0,180.94191365543375
350010,ADAMANTINA,35,2015,1763731.21,9820.0,179.60602953156823
350160,AMERICANA,35,2015,2703973.49,14721.0,183.681372868691
350170,AMERICO BRASILIENSE,35,2015,1200.0,2.0,600.0
350190,AMPARO,35,2015,2583165.8,14184.0,182.11828821206993
350210,ANDRADINA,35,2015,0.0,0.0,
350280,ARACATUBA,35,2015,4625491.38,25870.0,178.79750212601468
350320,ARARAQUARA,35,2015,5803879.05,31905.0,181.911269393512
350330,ARARAS,35,2015,1785203.15,9917.0,180.014434808914
350400,ASSIS,35,2015,3194677.11,17604.0,181.47450068166324
350450,AVARE,35,2015,2548637.53,14113.0,180.5879352370155
350550,BARRETOS,35,2015,3813485.18,20506.0,185.96923729640105
350570,BARUERI,35,2015,2499127.97,13885.0,179.98761037090387
350590,BATATAIS,35,2015,2627491.85,14379.0,182.73119479796927
350600,BAURU,35,2015,8807892.36,48010.0,183.45953676317433
350610,BEBEDOURO,35,2015,3405577.05,18578.0,183.31236139519862
350750,BOTUCATU,35,2015,5653354.3,31047.0,182.09019551003317
350760,BRAGANCA PAULISTA,35,2015,9449903.51,52048.0,181.5613185905318
350950,CAMPINAS,35,2015,19766798.82,106414.0,185.75374311650722
350960,CAMPO LIMPO PAULISTA,35,2015,0.0,0.0,
351050,CARAGUATATUBA,35,2015,0.0,0.0,
351060,CARAPICUIBA,35,2015,5517252.04,30763.0,179.34700906933654
351110,CATANDUVA,35,2015,2027052.52,11207.0,180.87378602659052
351340,CRUZEIRO,35,2015,1638297.58,9158.0,178.89250709761959
351350,CUBATAO,35,2015,0.0,0.0,
351380,DIADEMA,35,2015,7776207.28,42842.0,181.50896970262826
351440,DRACENA,35,2015,2506152.63,13840.0,181.08039234104046
351500,EMBU DAS ARTES,35,2015,0.0,0.0,
351550,FERNANDOPOLIS,35,2015,4941896.22,27309.0,180.9621816983412
351620,FRANCA,35,2015,7742282.95,41411.0,186.96198956798918
351630,FRANCISCO MORATO,35,2015,0.0,0.0,
351640,FRANCO DA ROCHA,35,2015,4899130.5,27028.0,181.26130309308866
351840,GUARATINGUETA,35,2015,2966527.33,16404.0,180.8417050719337
351870,GUARUJA,35,2015,3771464.45,20595.0,183.12524641903374
351880,GUARULHOS,35,2015,16240606.71,88754.0,182.98450447303784
351907,HORTOLANDIA,35,2015,0.0,0.0,
352044,ILHA SOLTEIRA,35,2015,2288204.34,12574.0,181.97903133449975
352050,INDAIATUBA,35,2015,2255701.36,12574.0,179.39409575314139
352220,ITAPECERICA DA SERRA,35,2015,3567395.45,19583.0,182.16797477403873
352230,ITAPETININGA,35,2015,5079613.05,28154.0,180.42242842935283
352240,ITAPEVA,35,2015,4208421.95,23250.0,181.00739569892474
352250,ITAPEVI,35,2015,0.0,0.0,
352260,ITAPIRA,35,2015,0.0,0.0,
352310,ITAQUAQUECETUBA,35,2015,0.0,0.0,
352340,ITATIBA,35,2015,0.0,0.0,
352390,ITU,35,2015,5485190.24,30012.0,182.7665680394509
352410,ITUVERAVA,35,2015,3268034.19,17994.0,181.6179943314438
352430,JABOTICABAL,35,2015,2843595.69,15595.0,182.34021737736452
352440,JACAREI,35,2015,2515995.83,13404.0,187.70485153685468
352530,JAU,35,2015,3278466.22,18186.0,180.27417903882107
352590,JUNDIAI,35,2015,6871958.91,37847.0,181.57209052236638
352670,LEME,35,2015,1903835.98,10612.0,179.40406897851489
352690,LIMEIRA,35,2015,2757468.58,15159.0,181.90306616531433
352900,MARILIA,35,2015,4818642.36,26443.0,182.22752183942822
352930,MATAO,35,2015,2170101.07,12069.0,179.8078606346839
352940,MAUA,35,2015,546693.08,3046.0,179.4790151017728
353060,MOGI DAS CRUZES,35,2015,5509381.2,30558.0,180.29259768309444
