cod_municipio,municipio,uf_ibge,2015,2016,2017,2018,2019,2020,2021,2022,2023,valor_2015_2023,media_pre_pandemia,media_pandemia,media_pos_pandemia,crescimento_pos_vs_pre_pct,participacao_nacional_pct,ranking_valor
220800,PICOS,22,7544927.59,8713856.7,10763070.38,11443168.55,12294719.45,12642896.5,12797975.52,15255970.97,16869224.26,108325809.92,10151948.534,12720436.01,16062597.615000002,58.22181880852315,0.382209217943112,43
355240,SUMARE,35,8008298.63,8780859.85,10276319.8,12792079.11,12730991.61,12711849.37,11791481.31,12677785.0,15824564.79,105594229.47,10517709.8,12251665.34,14251174.895,35.496939599911734,0.37257130036544306,44
355280,TABOAO DA SERRA,35,9129196.14,9878973.09,10732830.7,10613798.72,10683997.29,12539904.62,12130230.19,13248251.42,16095682.79,105052864.96000001,10207759.188,12335067.405,14671967.105,43.73347602329822,0.3706611876587662,45
411520,MARINGA,41,9430768.89,10192524.42,11030027.74,11548983.26,12327009.03,11997989.62,10977649.09,12531616.51,13967652.79,104004221.35,10905862.668000001,11487819.355,13249634.649999999,21.49093614462152,0.3669612268241771,46
310670,BETIM,31,5514128.23,5791115.36,6649931.96,12030748.61,13449826.19,13648881.96,13693768.64,15837265.25,17334313.64,103949979.84,8687150.07,13671325.3,16585789.445,90.92325229049484,0.3667698448706753,47
230370,CAUCAIA,23,7241386.19,8303700.27,9606624.42,10359733.67,11560503.33,11654130.83,11624093.45,14213015.39,16850188.13,101413375.67999999,9414389.576000001,11639112.14,15531601.76,64.97725778838108,0.35781986800975135,48
291840,JUAZEIRO,29,6629538.95,7846617.52,9080862.67,9792716.54,10328426.01,11920791.94,12936861.49,15323492.97,17409156.63,101268464.71999998,8735632.338,12428826.715,16366324.8,87.3513463794314,0.35730857430482643,49
320150,COLATINA,32,9920424.84,10197053.55,11137604.58,11247619.76,11382896.28,10998278.0,10699602.55,11711136.43,10425189.64,97719805.63000001,10777119.802,10848940.275,11068163.035,2.7005659985888775,0.3447877335510183,50
352390,ITU,35,5485190.24,6000124.97,7179038.08,10336831.93,15206305.9,16525541.15,15513461.54,9289309.98,9730349.2,95266152.99000001,8841498.224,16019501.344999999,9509829.59,7.559028448208394,0.33613043703663237,51
210300,CAXIAS,21,9857035.55,9974983.75,9706125.95,10555051.45,10907912.98,10871584.29,10533027.22,10863037.85,11243948.74,94512707.78,10200221.936,10702305.754999999,11053493.295,8.365223466251436,0.33347203360821803,52
420910,JOINVILLE,42,8748507.81,8999132.94,10155454.55,10707503.55,11020179.72,10641336.83,9564319.67,10871879.69,12859432.23,93567746.99,9926155.714,10102828.25,11865655.96,19.539288944102505,0.3301378999903892,53
231290,SOBRAL,23,7663290.29,8684416.58,10050169.31,10387431.15,10531232.96,10290778.1,10204923.43,12057565.3,13306559.67,93176366.78999999,9463308.058,10247850.765,12682062.485,34.01299426450522,0.32875698144225285,54
350600,BAURU,35,8807892.36,9423728.45,10215489.46,10311664.34,10068210.61,9956355.73,10135737.64,11448436.75,12093634.63,92461149.97,9765397.044,10046046.685,11771035.690000001,20.538219152413205,0.3262334603937249,55
351620,FRANCA,35,7742282.95,8058697.59,8886918.56,9216967.97,10054665.7,10874133.09,11237942.67,12106101.54,14236465.79,92414175.85999998,8791906.554,11056037.879999999,13171283.665,49.81146107618195,0.3260677202265391,56
