cod_municipio,municipio,uf_ibge,valor_2015,qtd_2015,valor_2016,qtd_2016,valor_2017,qtd_2017,valor_2018,qtd_2018,valor_2019,qtd_2019,valor_2020,qtd_2020,valor_2021,qtd_2021,valor_2022,qtd_2022,valor_2023,qtd_2023,valor_2024,qtd_2024,valor_2025,qtd_2025,valor_2026,qtd_2026,periodo_analise,valor_periodo,qtd_periodo,custo_medio_periodo,media_valor_pre_pandemia,media_qtd_pre_pandemia,media_valor_pandemia,media_qtd_pandemia,media_valor_pos_pandemia,media_qtd_pos_pandemia,crescimento_valor_pos_vs_pre_pct,crescimento_qtd_pos_vs_pre_pct,participacao_valor_nacional_pct,participacao_qtd_nacional_pct,ranking_valor,ranking_qtd
280030,ARACAJU,28,18338853.48,101545.0,18710838.32,103463.0,18433539.56,93795.0,18878144.77,95954.0,19232589.48,98059.0,19801864.96,101616.0,20306294.19,103641.0,21473105.13,97663.0,24331399.93,105340.0,28386939.33,116303.0,31679573.9,129631.0,17108276.669999998,67927.0,2015_2026,256681419.71999997,1214937.0,211.27138256551572,18718793.122,98563.2,20054079.575000003,102628.5,24595858.992,103372.8,31.39660677745695,4.879711697672162,0.6411892575882928,0.6463356279916718,21,20
250400,CAMPINA GRANDE,25,16492547.33,91696.0,16487474.23,91459.0,17763925.03,91046.0,18709324.2,95832.0,19751726.33,101263.0,21016291.74,108656.0,21281120.39,109815.0,23808331.6,108916.0,22976268.67,100429.0,24449342.67,100993.0,25613635.92,106046.0,12873875.83,51624.0,2015_2026,241223863.94000003,1157775.0,208.35124608840235,17840999.424000002,94259.2,21148706.064999998,109235.5,21944290.938,93601.6,22.999224519228356,-0.6976507332971171,0.602576339187267,0.6159259547598417,22,22
510340,CUIABA,51,15871684.66,86599.0,15945037.73,85963.0,17433412.22,87042.0,18145994.31,91100.0,19246662.97,97306.0,19068946.41,96556.0,19360794.29,97739.0,22826939.39,102905.0,24525150.03,105206.0,26699785.42,108147.0,27436542.52,111119.0,14363452.75,56508.0,2015_2026,240924402.70000002,1126190.0,213.92873555971906,17328558.378,89602.0,19214870.35,97147.5,23170374.022,96777.0,33.71206950150369,8.007633758175036,0.6018282860934299,0.5991230169860172,23,23
351880,GUARULHOS,35,16240606.71,88754.0,16822541.8,90949.0,17597068.81,88489.0,17665266.68,88647.0,18297932.21,91748.0,19279887.49,97206.0,19212483.47,97433.0,21531317.72,97167.0,23094675.7,99316.0,26056200.47,105847.0,27974438.07,113946.0,14620929.1,58117.0,2015_2026,238393348.22999996,1117619.0,213.30466664399938,17324683.242000002,89717.4,19246185.479999997,97319.5,22655512.212,94878.6,30.770138163776295,5.752730239619086,0.595505721186686,0.5945633215717557,24,24
311860,CONTAGEM,31,16720576.18,92118.0,17026301.21,93152.0,18248874.74,92579.0,15865046.11,80350.0,16934907.89,85752.0,18108819.58,92263.0,17801156.37,91096.0,19100884.08,87385.0,21151433.48,91981.0,23742155.11,97478.0,24563554.08,100595.0,10677104.42,42731.0,2015_2026,219940813.24999997,1047480.0,209.9713724844388,16959141.226,88790.2,17954987.975,91679.5,19847026.234,84034.0,17.028486109736463,-5.356672245360405,0.5494113555822155,0.5572500002952551,25,25
291080,FEIRA DE SANTANA,29,16866143.85,92800.0,16644439.08,91161.0,18903705.78,96169.0,18596558.46,94532.0,18255174.85,92831.0,17412979.11,88949.0,15938072.77,81103.0,17658315.15,80848.0,18355405.57,79900.0,20118903.87,82397.0,21662824.77,88598.0,11925014.559999999,47619.0,2015_2026,212337537.82000002,1016907.0,208.80723391617917,17853204.404000003,93498.6,16675525.94,85026.0,17944092.784,75872.4,0.5090872089025922,-18.851833075575474,0.5304184010726177,0.5409854374787556,26,26
260400,CARPINA,26,11693702.2,64420.0,12342112.76,67875.0,14329118.16,73154.0,14663524.45,74797.0,14787667.96,75119.0,17182730.6,87707.0,17723875.96,90302.0,20940059.68,95381.0,22945200.66,99438.0,24799770.04,101580.0,24099309.35,98966.0,12247199.399999999,48927.0,2015_2026,207754271.22,977666.0,212.5002518446995,13563225.106,71073.0,17453303.28,89004.5,21006307.825999998,88858.4,54.876938647190784,25.024130119736032,0.5189694176916275,0.5201095761147333,27,27
317020,UBERLANDIA,31,12492164.46,68501.0,12889558.39,70442.0,14350431.81,72416.0,14936168.22,75496.0,15929031.38,80522.0,16874262.89,85258.0,16321046.12,83378.0,18611228.92,84759.0,20526899.63,89116.0,21697928.9,88717.0,22559587.24,92466.0,11727579.02,46236.0,2015_2026,198915886.98000005,937307.0,212.2206352667803,14119470.852000002,73475.4,16597654.504999999,84318.0,19024644.742,80258.8,34.740493757988,9.232205608952126,0.49689116584423026,0.4986389487405436,28,28
330490,SAO GONCALO,33,14562389.45,78600.0,14688295.4,78135.0,16469652.65,81807.0,16454916.01,81954.0,16740462.08,83591.0,16252078.82,81770.0,14865432.19,75477.0,17235943.05,78238.0,18343196.09,78755.0,19613420.61,79725.0,19558600.26,79679.0,10628349.23,42673.0,2015_2026,195412735.83999994,920404.0,212.31191502861782,15783143.118,80817.4,15558755.504999999,78623.5,17075901.848,71814.0,8.190755924437276,-11.140422730748567,0.48814030697362526,0.48964670377644814,29,29
354980,SAO JOSE DO RIO PRETO,35,12502792.58,67623.0,13509532.44,72003.0,14821623.6,73821.0,14697653.64,73159.0,15098960.73,75283.0,15727031.58,79162.0,14631770.33,73785.0,16203451.7,73143.0,19094869.82,82096.0,21307158.74,86355.0,22269247.42,90545.0,11617636.48,45847.0,2015_2026,191481729.05999997,892822.0,214.46797800681432,14126112.598,72377.8,15179400.955,76473.5,18098472.832,75597.2,28.120689301049563,4.44804898739668,0.4783206662626139,0.47497332623401894,30,31
