cod_municipio,municipio,uf_ibge,ano,valor_aprovado
292660,RIBEIRA DO POMBAL,29,2015,3345129.37
110012,JI-PARANA,11,2015,3505359.31
313240,ITAJUBA,31,2015,4025403.33
316370,SAO LOURENCO,31,2015,4193413.09
411990,PONTA GROSSA,41,2015,4430744.91
231180,RUSSAS,23,2015,3507363.37
350570,BARUERI,35,2015,2499127.97
420420,CHAPECO,42,2015,4619659.24
410430,CAMPO MOURAO,41,2015,3497645.26
420200,BALNEARIO CAMBORIU,42,2015,2756519.91
313330,ITAOBIM,31,2015,3431988.01
313420,ITUIUTABA,31,2015,3787076.38
291750,JACOBINA,29,2015,3018797.74
310560,BARBACENA,31,2015,4275154.14
350610,BEBEDOURO,35,2015,3405577.05
330220,ITAPERUNA,33,2015,4416830.42
410400,CAMPINA GRANDE DO SUL,41,2015,3632076.9
412810,UMUARAMA,41,2015,3590695.55
354890,SAO CARLOS,35,2015,3710782.17
150613,REDENCAO,15,2015,3497845.08
230280,CANINDE,23,2015,5402398.82
315210,PONTE NOVA,31,2015,4245809.72
261110,PETROLINA,26,2015,4958159.29
230550,IGUATU,23,2015,3839348.77
330010,ANGRA DOS REIS,33,2015,3725784.86
353800,PINDAMONHANGABA,35,2015,4058238.82
520025,AGUAS LINDAS DE GOIAS,52,2015,3231269.15
431350,OSORIO,43,2015,4287405.96
431750,SANTO ANGELO,43,2015,4388078.3
431560,RIO GRANDE,43,2015,4331997.5
330020,ARARUAMA,33,2015,3605943.87
510795,TANGARA DA SERRA,51,2015,3677271.03
316990,UBA,31,2015,4409866.14
330340,NOVA FRIBURGO,33,2015,4013926.33
311120,CAMPO BELO,31,2015,3430483.35
230410,CRATEUS,23,2015,0.0
291460,IRECE,29,2015,23400.0
330227,JAPERI,33,2015,3686683.65
352530,JAU,35,2015,3278466.22
311830,CONSELHEIRO LAFAIETE,31,2015,4300021.4
412550,SAO JOSE DOS PINHAIS,41,2015,2841691.17
310400,ARAXA,31,2015,3467988.89
260960,OLINDA,26,2015,4856551.84
330430,RIO BONITO,33,2015,3753142.57
291920,LAURO DE FREITAS,29,2015,3274821.43
521800,PORANGATU,52,2015,3795148.9
521190,JATAI,52,2015,3284110.41
420930,LAGES,42,2015,2856958.82
251080,PATOS,25,2015,2168390.31
421480,RIO DO SUL,42,2015,3195585.71
420240,BLUMENAU,42,2015,3360338.28
330630,VOLTA REDONDA,33,2015,1336979.8
110002,ARIQUEMES,11,2015,84402.44
520860,GOIANESIA,52,2015,4061392.02
351050,CARAGUATATUBA,35,2015,0.0
313840,LEOPOLDINA,31,2015,2462536.78
314000,MARIANA,31,2015,2641383.61
430920,GRAVATAI,43,2015,3677685.28
290320,BARREIRAS,29,2015,2560823.24
270630,PALMEIRA DOS INDIOS,27,2015,3818683.76
430310,CACHOEIRINHA,43,2015,3844746.2
351870,GUARUJA,35,2015,3771464.45
170210,ARAGUAINA,17,2015,3629858.85
410140,APUCARANA,41,2015,3042730.17
314810,PATROCINIO,31,2015,3177971.43
317130,VICOSA,31,2015,2849150.54
520540,CERES,52,2015,3656538.79
330320,NILOPOLIS,33,2015,2870348.57
430060,ALVORADA,43,2015,3030393.11
110004,CACOAL,11,2015,2847044.49
280290,ITABAIANA,28,2015,2598123.08
230210,BATURITE,23,2015,2567010.41
310740,BOM DESPACHO,31,2015,3118689.33
520510,CATALAO,52,2015,3425779.16
352440,JACAREI,35,2015,2515995.83
351060,CARAPICUIBA,35,2015,5517252.04
330390,PETROPOLIS,33,2015,4079062.86
330470,SANTO ANTONIO DE PADUA,33,2015,3430886.02
330600,TRES RIOS,33,2015,3855070.56
412770,TOLEDO,41,2015,2839370.75
352930,MATAO,35,2015,2170101.07
240325,PARNAMIRIM,24,2015,4039293.18
411150,IVAIPORA,41,2015,3194143.06
261220,SALGUEIRO,26,2015,3261030.65
314390,MURIAE,31,2015,3226471.43
352690,LIMEIRA,35,2015,2757468.58
352430,JABOTICABAL,35,2015,2843595.69
431340,NOVO HAMBURGO,43,2015,3391904.92
330240,MACAE,33,2015,4041266.51
430460,CANOAS,43,2015,4233115.43
231130,QUIXADA,23,2015,3011417.25
150442,MARITUBA,15,2015,3162759.82
430300,CACHOEIRA DO SUL,43,2015,3346247.45
270860,SAO MIGUEL DOS CAMPOS,27,2015,2529015.3
312870,GUAXUPE,31,2015,2989960.43
240940,PAU DOS FERROS,24,2015,2441652.98
500660,PONTA PORA,50,2015,3281709.08
350450,AVARE,35,2015,2548637.53
312510,EXTREMA,31,2015,2651699.36
251620,SOUSA,25,2015,2955501.26
350590,BATATAIS,35,2015,2627491.85
353470,OURINHOS,35,2015,2839775.08
350400,ASSIS,35,2015,3194677.11
210820,PEDREIRAS,21,2015,3274346.84
510180,BARRA DO GARCAS,51,2015,2664031.89
312160,DIAMANTINA,31,2015,2405125.55
330610,VALENCA,33,2015,3216185.3
316470,SAO SEBASTIAO DO PARAISO,31,2015,2751948.78
410420,CAMPO LARGO,41,2015,2392964.87
354580,SANTA BARBARA D'OESTE,35,2015,3633332.9
354100,PRAIA GRANDE,35,2015,0.0
431680,SANTA CRUZ DO SUL,43,2015,2696725.94
170950,GURUPI,17,2015,2860173.27
431870,SAO LEOPOLDO,43,2015,3052022.94
421580,SAO BENTO DO SUL,42,2015,2295953.3
430390,CAMPO BOM,43,2015,2582618.77
354160,PROMISSAO,35,2015,2546484.08
211220,TIMON,21,2015,3034871.04
355100,SAO VICENTE,35,2015,3581966.82
421720,SAO MIGUEL DO OESTE,42,2015,2754189.95
352410,ITUVERAVA,35,2015,3268034.19
432120,TAQUARA,43,2015,2767927.19
313380,ITAUNA,31,2015,3049577.49
411820,PARANAGUA,41,2015,2223751.5
350190,AMPARO,35,2015,2583165.8
310350,ARAGUARI,31,2015,2504281.38
355500,TUPA,35,2015,2404657.3
431020,IJUI,43,2015,2444357.55
500320,CORUMBA,50,2015,1934081.62
431140,LAJEADO,43,2015,2168108.43
314480,NOVA LIMA,31,2015,2622195.65
316930,TRES CORACOES,31,2015,3102079.29
315700,SALINAS,31,2015,2209573.76
293135,TEIXEIRA DE FREITAS,29,2015,0.0
315180,POCOS DE CALDAS,31,2015,2698249.82
351840,GUARATINGUETA,35,2015,2966527.33
260110,ARARIPINA,26,2015,0.0
320240,GUARAPARI,32,2015,2480240.96
412240,ROLANDIA,41,2015,0.0
354390,RIO CLARO,35,2015,2718308.59
311330,CARANGOLA,31,2015,2282238.78
